frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.08900000000000001,0.35100000000000003,0.051,-0.023,-0.052000000000000005,0.1,0.0,0.124,0.0,0.20800000000000002,0.37,0.022,0.186,0.348,0.446,0.0,0.202,0.094,0.0,0.0,0.074,0.476
1,0.04,0.98,1,0.063,0.32799999999999996,0.067,-0.009000000000000001,-0.057999999999999996,0.174,0.05600000000000001,0.11399999999999999,0.0,0.194,0.364,0.018,0.196,0.33999999999999997,0.45199999999999996,0.012,0.20400000000000001,0.094,0.0,0.0,0.098,0.248
2,0.08,0.98,1,0.061,0.278,0.073,-0.003,-0.061,0.21400000000000002,0.06999999999999999,0.10600000000000001,0.0,0.176,0.352,0.01,0.196,0.33599999999999997,0.45599999999999996,0.02,0.196,0.10200000000000001,0.0,0.0,0.10600000000000001,0.096
3,0.12,0.98,1,0.061,0.256,0.066,-0.006,-0.057,0.198,0.062,0.096,0.0,0.16,0.35,0.004,0.174,0.32799999999999996,0.454,0.022,0.184,0.088,0.0,0.0,0.096,0.026000000000000002
4,0.16,0.98,1,0.067,0.253,0.067,-0.003,-0.059000000000000004,0.21000000000000002,0.05600000000000001,0.08199999999999999,0.0,0.15,0.372,0.0,0.182,0.33199999999999996,0.44800000000000006,0.014000000000000002,0.192,0.088,0.0,0.0,0.094,0.008
5,0.2,0.98,1,0.07400000000000001,0.256,0.064,-0.006,-0.057,0.194,0.046,0.072,0.0,0.142,0.372,0.0,0.176,0.33199999999999996,0.43600000000000005,0.01,0.198,0.08199999999999999,0.0,0.0,0.08399999999999999,0.0
6,0.24,0.98,1,0.078,0.244,0.065,-0.005,-0.059000000000000004,0.198,0.022,0.06,0.0,0.15,0.372,0.0,0.182,0.33999999999999997,0.44000000000000006,0.004,0.198,0.08399999999999999,0.0,0.0,0.092,0.0
7,0.28,0.98,1,0.08,0.23800000000000002,0.066,-0.006,-0.057999999999999996,0.182,0.002,0.05,0.0,0.148,0.35,0.0,0.172,0.33599999999999997,0.43,0.006,0.18,0.092,0.0,0.0,0.08,0.0
8,0.32,0.98,1,0.078,0.24100000000000002,0.066,-0.006999999999999999,-0.057999999999999996,0.178,0.0,0.048,0.0,0.15,0.33799999999999997,0.0,0.172,0.33199999999999996,0.42800000000000005,0.004,0.174,0.08199999999999999,0.0,0.0,0.074,0.0
9,0.36,0.98,1,0.08,0.24,0.069,-0.006999999999999999,-0.057999999999999996,0.16999999999999998,0.0,0.044,0.0,0.146,0.322,0.0,0.16399999999999998,0.32999999999999996,0.42000000000000004,0.004,0.176,0.10600000000000001,0.0,0.0,0.08199999999999999,0.0
10,0.4,0.98,1,0.081,0.245,0.073,-0.006999999999999999,-0.057999999999999996,0.156,0.0,0.032,0.0,0.148,0.32799999999999996,0.0,0.152,0.33199999999999996,0.418,0.014000000000000002,0.188,0.10800000000000001,0.0,0.0,0.09,0.0
11,0.44,0.98,1,0.075,0.243,0.073,-0.006,-0.057,0.152,0.0,0.028000000000000004,0.0,0.16,0.352,0.0,0.152,0.33599999999999997,0.418,0.018,0.198,0.118,0.0,0.0,0.126,0.0
12,0.48,0.98,1,0.076,0.251,0.07400000000000001,-0.006,-0.055,0.13799999999999998,0.0,0.02,0.0,0.172,0.354,0.0,0.16599999999999998,0.33799999999999997,0.41600000000000004,0.018,0.20600000000000002,0.11200000000000002,0.0,0.0,0.11200000000000002,0.0
13,0.52,0.98,1,0.071,0.248,0.073,-0.005,-0.053,0.13999999999999999,0.002,0.038,0.0,0.178,0.358,0.002,0.178,0.33799999999999997,0.426,0.004,0.21000000000000002,0.122,0.0,0.0,0.124,0.0
14,0.56,0.98,1,0.071,0.24600000000000002,0.071,-0.006,-0.053,0.132,0.006,0.034,0.0,0.174,0.33199999999999996,0.002,0.174,0.33799999999999997,0.42400000000000004,0.004,0.20800000000000002,0.13,0.0,0.0,0.11000000000000001,0.0
15,0.6,0.98,1,0.071,0.244,0.069,-0.008,-0.051,0.136,0.006,0.05,0.0,0.16999999999999998,0.312,0.002,0.16399999999999998,0.33599999999999997,0.42400000000000004,0.018,0.20800000000000002,0.124,0.0,0.0,0.10800000000000001,0.0
16,0.64,0.98,1,0.07,0.24600000000000002,0.07200000000000001,-0.006999999999999999,-0.049,0.136,0.004,0.05600000000000001,0.0,0.172,0.34199999999999997,0.0,0.16399999999999998,0.33999999999999997,0.43200000000000005,0.018,0.20800000000000002,0.122,0.0,0.0,0.092,0.0
17,0.68,0.98,1,0.047,0.285,0.077,-0.006,-0.049,0.188,0.01,0.096,0.0,0.178,0.308,0.004,0.186,0.346,0.47000000000000003,0.016,0.22200000000000003,0.13999999999999999,0.0,0.0,0.10400000000000001,0.20400000000000001
18,0.72,0.98,1,0.046,0.38799999999999996,0.067,-0.012,-0.046,0.238,0.028000000000000004,0.11200000000000002,0.0,0.172,0.266,0.004,0.188,0.35,0.51,0.0,0.22000000000000003,0.16,0.0,0.0,0.118,0.43200000000000005
19,0.76,0.98,1,0.078,0.391,0.057,-0.016,-0.047,0.272,0.062,0.15,0.0,0.174,0.238,0.004,0.2,0.354,0.528,0.0,0.21200000000000002,0.176,0.0,0.0,0.126,0.638
