frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0,0.98,1,-0.048,0.319,0.171,0.117,-0.013,0,0,0.172,0,0.23,0.17,0.03,0.162,0.096,0.424,0,0.006,0,0.104,0,0,0.054
1,0.017,0.98,1,-0.052,0.327,0.184,0.117,-0.015,0,0,0.178,0,0.236,0.21,0.044,0.156,0.092,0.438,0.006,0.044,0,0.08,0,0,0.038
2,0.034,0.98,1,-0.056,0.336,0.191,0.119,-0.019,0,0,0.182,0,0.248,0.226,0.058,0.148,0.09,0.446,0.014,0.072,0,0.056,0,0,0.028
3,0.052,0.98,1,-0.054,0.342,0.2,0.122,-0.025,0.008,0,0.192,0,0.246,0.216,0.068,0.138,0.078,0.416,0.012,0.104,0,0.034,0,0,0.022
4,0.069,0.98,1,-0.058,0.347,0.208,0.124,-0.03,0.012,0,0.184,0,0.256,0.24,0.076,0.136,0.068,0.382,0.032,0.134,0,0.016,0,0,0.036
5,0.086,0.98,1,-0.052,0.353,0.216,0.126,-0.036,0.012,0,0.196,0,0.252,0.254,0.092,0.132,0.058,0.334,0.04,0.166,0,0.006,0,0,0.042
6,0.103,0.98,1,-0.054,0.361,0.221,0.125,-0.04,0.02,0,0.206,0,0.258,0.254,0.114,0.132,0.062,0.322,0.056,0.188,0,0,0,0,0.058
7,0.121,0.98,1,-0.059,0.355,0.223,0.127,-0.044,0.026,0,0.218,0,0.25,0.232,0.118,0.136,0.056,0.316,0.04,0.206,0,0,0,0,0.054
8,0.138,0.98,1,-0.059,0.357,0.224,0.129,-0.047,0.03,0,0.23,0,0.254,0.228,0.116,0.138,0.05,0.332,0.03,0.22,0,0,0,0,0.056
9,0.155,0.93,1,-0.057,0.358,0.224,0.13,-0.048,0.024,0,0.216,0,0.25,0.24,0.1,0.15,0.05,0.34,0.018,0.204,0,0,0,0,0.032
10,0.172,0.98,1,-0.065,0.358,0.22,0.123,-0.027,0.03,0,0.214,0,0.25,0.258,0.104,0.134,0.05,0.344,0.014,0.184,0,0,0,0,0.016
11,0.189,0.98,1,-0.068,0.359,0.222,0.127,-0.036,0.034,0,0.202,0,0.242,0.244,0.106,0.126,0.05,0.336,0.024,0.172,0,0,0,0,0.016
12,0.207,0.98,1,-0.061,0.354,0.223,0.129,-0.04,0.04,0,0.208,0,0.24,0.232,0.12,0.108,0.034,0.326,0.042,0.198,0.008,0,0,0,0.016
13,0.224,0.93,1,-0.062,0.349,0.219,0.13,-0.042,0.024,0,0.188,0,0.222,0.182,0.1,0.118,0.03,0.348,0.068,0.196,0.012,0,0,0,0.016
14,0.241,0.98,1,-0.064,0.353,0.214,0.123,-0.022,0.02,0,0.176,0,0.21,0.172,0.076,0.112,0.028,0.328,0.06,0.2,0.012,0,0,0,0
15,0.258,0.98,1,-0.067,0.35,0.216,0.126,-0.031,0.012,0,0.174,0,0.2,0.178,0.06,0.104,0.024,0.32,0.038,0.196,0.012,0,0,0,0.008
16,0.276,0.98,1,-0.062,0.351,0.215,0.127,-0.037,0.01,0,0.19,0,0.206,0.21,0.072,0.088,0.016,0.27,0.04,0.22,0.01,0,0,0,0.01
17,0.293,0.98,1,-0.064,0.357,0.212,0.125,-0.04,0.006,0,0.192,0,0.21,0.222,0.094,0.084,0.006,0.258,0.046,0.214,0.022,0,0,0,0.01
