frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.07,0.349,0.039,-0.032,-0.055999999999999994,0.176,0.0,0.136,0.0,0.16799999999999998,0.49000000000000005,0.1,0.10800000000000001,0.266,0.244,0.038,0.11599999999999999,0.10600000000000001,0.0,0.0,0.176,0.316
1,0.04,0.98,1,0.069,0.344,0.063,-0.016,-0.067,0.256,0.01,0.134,0.0,0.13999999999999999,0.40599999999999997,0.11599999999999999,0.11200000000000002,0.29,0.286,0.03,0.098,0.09,0.0,0.006,0.194,0.13
2,0.08,0.98,1,0.065,0.299,0.07,-0.009000000000000001,-0.073,0.286,0.01,0.128,0.0,0.122,0.374,0.126,0.11000000000000001,0.3,0.3,0.024,0.12,0.092,0.0,0.006,0.198,0.024
3,0.12,0.98,1,0.066,0.271,0.07400000000000001,-0.006,-0.076,0.258,0.0,0.10600000000000001,0.0,0.11599999999999999,0.366,0.11599999999999999,0.12,0.304,0.292,0.01,0.152,0.088,0.0,0.01,0.198,0.0
4,0.16,0.98,1,0.073,0.271,0.076,-0.003,-0.076,0.25,0.0,0.1,0.0,0.1,0.33999999999999997,0.11399999999999999,0.1,0.294,0.27599999999999997,0.014000000000000002,0.174,0.072,0.0,0.004,0.16,0.0
5,0.2,0.98,1,0.076,0.26,0.071,-0.002,-0.08,0.238,0.0,0.094,0.0,0.096,0.298,0.10200000000000001,0.092,0.292,0.254,0.008,0.158,0.057999999999999996,0.0,0.008,0.158,0.0
6,0.24,0.98,1,0.08199999999999999,0.259,0.07400000000000001,-0.003,-0.08199999999999999,0.242,0.0,0.08399999999999999,0.0,0.092,0.274,0.09,0.08,0.29,0.236,0.006,0.134,0.062,0.0,0.014000000000000002,0.152,0.0
7,0.28,0.98,1,0.087,0.258,0.077,-0.002,-0.083,0.236,0.0,0.08399999999999999,0.0,0.096,0.286,0.08199999999999999,0.08399999999999999,0.292,0.21600000000000003,0.002,0.13799999999999998,0.08,0.0,0.018,0.184,0.0
8,0.32,0.98,1,0.087,0.262,0.079,-0.001,-0.084,0.22999999999999998,0.0,0.072,0.0,0.092,0.274,0.08,0.08399999999999999,0.296,0.22599999999999998,0.002,0.148,0.076,0.0,0.014000000000000002,0.186,0.0
9,0.36,0.98,1,0.08800000000000001,0.263,0.083,-0.001,-0.084,0.22799999999999998,0.0,0.06999999999999999,0.0,0.088,0.266,0.08199999999999999,0.06999999999999999,0.298,0.23199999999999998,0.008,0.16799999999999998,0.086,0.0,0.004,0.198,0.0
10,0.4,0.98,1,0.08800000000000001,0.264,0.083,-0.002,-0.08199999999999999,0.22400000000000003,0.0,0.057999999999999996,0.0,0.092,0.27799999999999997,0.088,0.06999999999999999,0.308,0.24,0.016,0.182,0.078,0.0,0.0,0.194,0.0
11,0.44,0.98,1,0.085,0.263,0.087,-0.003,-0.081,0.22200000000000003,0.0,0.06,0.0,0.096,0.3,0.08399999999999999,0.06999999999999999,0.312,0.244,0.016,0.18,0.096,0.0,0.002,0.20400000000000001,0.0
12,0.48,0.98,1,0.081,0.262,0.085,-0.003,-0.079,0.21400000000000002,0.0,0.05,0.0,0.098,0.306,0.086,0.086,0.312,0.25,0.008,0.172,0.096,0.0,0.002,0.196,0.0
13,0.52,0.98,1,0.08199999999999999,0.267,0.087,-0.004,-0.077,0.21000000000000002,0.0,0.05600000000000001,0.0,0.098,0.288,0.092,0.1,0.306,0.25,0.018,0.162,0.096,0.0,0.002,0.22000000000000003,0.0
14,0.56,0.98,1,0.079,0.27,0.087,-0.004,-0.077,0.21600000000000003,0.0,0.05600000000000001,0.0,0.092,0.282,0.10200000000000001,0.10200000000000001,0.298,0.242,0.026000000000000002,0.16,0.098,0.0,0.002,0.21200000000000002,0.0
15,0.6,0.98,1,0.077,0.263,0.084,-0.004,-0.076,0.21400000000000002,0.0,0.078,0.0,0.094,0.27599999999999997,0.11000000000000001,0.096,0.294,0.22799999999999998,0.026000000000000002,0.146,0.1,0.0,0.002,0.20800000000000002,0.0
16,0.64,0.98,1,0.08,0.264,0.081,-0.003,-0.076,0.21400000000000002,0.0,0.09,0.0,0.094,0.304,0.1,0.094,0.29,0.22599999999999998,0.008,0.132,0.11200000000000002,0.0,0.01,0.2,0.0
17,0.68,0.98,1,0.053,0.305,0.081,-0.004,-0.076,0.25,0.0,0.16599999999999998,0.0,0.126,0.33599999999999997,0.10800000000000001,0.12,0.3,0.24,0.0,0.128,0.11599999999999999,0.0,0.018,0.23399999999999999,0.172
18,0.72,0.98,1,0.083,0.41,0.078,-0.002,-0.078,0.29,0.0,0.238,0.0,0.16399999999999998,0.358,0.11399999999999999,0.144,0.32,0.254,0.0,0.13,0.126,0.0,0.038,0.286,0.392
19,0.76,0.98,1,0.096,0.452,0.09300000000000001,0.001,-0.08199999999999999,0.302,0.0,0.292,0.0,0.182,0.354,0.128,0.15,0.32599999999999996,0.258,0.0,0.148,0.13,0.0,0.041999999999999996,0.306,0.536
20,0.8,0.98,1,0.06,0.39899999999999997,0.08,-0.006999999999999999,-0.078,0.258,0.0,0.262,0.0,0.16599999999999998,0.35,0.132,0.136,0.316,0.252,0.0,0.154,0.13,0.0,0.044,0.27,0.42000000000000004
21,0.84,0.98,1,0.07200000000000001,0.38,0.08,-0.005,-0.079,0.21800000000000003,0.0,0.188,0.0,0.126,0.32999999999999996,0.134,0.124,0.302,0.25,0.002,0.158,0.10800000000000001,0.0,0.028000000000000004,0.22999999999999998,0.2
22,0.88,0.98,1,0.061,0.284,0.081,-0.003,-0.079,0.21200000000000002,0.0,0.126,0.0,0.098,0.302,0.118,0.11200000000000002,0.296,0.252,0.014000000000000002,0.144,0.1,0.0,0.036,0.20800000000000002,0.05600000000000001
23,0.92,0.98,1,0.08,0.281,0.08,-0.004,-0.078,0.21800000000000003,0.0,0.09,0.0,0.088,0.282,0.10600000000000001,0.1,0.294,0.252,0.022,0.142,0.08399999999999999,0.0,0.044,0.20400000000000001,0.0
24,0.96,0.98,1,0.087,0.272,0.078,-0.006,-0.078,0.22200000000000003,0.0,0.088,0.0,0.086,0.29,0.098,0.088,0.292,0.246,0.028000000000000004,0.142,0.08,0.0,0.046,0.202,0.0
