frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.306,0.22,0.07400000000000001,-0.27699999999999997,0.002,0.0,0.0,0.0,0.006,0.0,0.148,0.034,0.0,0.078,0.096,0.0,0.057999999999999996,0.0,0.0,0.08,0.016,0.046
1,0.04,0.98,1,0.3,0.22,0.067,-0.268,-0.006,0.002,0.0,0.0,0.03,0.0,0.186,0.022,0.0,0.094,0.11399999999999999,0.0,0.10800000000000001,0.0,0.0,0.088,0.036,0.04
2,0.08,0.98,1,0.306,0.22699999999999998,0.069,-0.264,-0.011000000000000001,0.002,0.0,0.0,0.05,0.0,0.188,0.012,0.0,0.11000000000000001,0.136,0.0,0.13,0.0,0.0,0.118,0.048,0.04
3,0.12,0.98,1,0.297,0.222,0.06,-0.26,-0.016,0.0,0.0,0.0,0.052000000000000005,0.0,0.156,0.022,0.0,0.11000000000000001,0.16599999999999998,0.0,0.13799999999999998,0.0,0.018,0.088,0.05,0.046
4,0.16,0.98,1,0.295,0.205,0.039,-0.267,-0.027000000000000003,0.0,0.0,0.0,0.03,0.0,0.13999999999999999,0.036,0.0,0.1,0.18,0.0,0.178,0.0,0.05,0.05600000000000001,0.024,0.05
5,0.2,0.98,1,0.294,0.192,0.021,-0.266,-0.033,0.0,0.0,0.0,0.026000000000000002,0.0,0.16999999999999998,0.05600000000000001,0.0,0.088,0.182,0.0,0.194,0.01,0.076,0.0,0.016,0.05600000000000001
6,0.24,0.98,1,0.302,0.196,0.016,-0.267,-0.035,0.0,0.0,0.0,0.032,0.0,0.19,0.066,0.0,0.092,0.162,0.0,0.16599999999999998,0.01,0.064,0.0,0.02,0.057999999999999996
7,0.28,0.98,1,0.306,0.20199999999999999,0.028999999999999998,-0.26899999999999996,-0.028999999999999998,0.0,0.0,0.0,0.034,0.004,0.2,0.068,0.0,0.10800000000000001,0.124,0.0,0.10600000000000001,0.01,0.03,0.048,0.036,0.06
8,0.32,0.98,1,0.305,0.209,0.043,-0.278,-0.027999999999999997,0.0,0.0,0.0,0.041999999999999996,0.016,0.184,0.066,0.0,0.124,0.1,0.0,0.066,0.0,0.006,0.08399999999999999,0.054000000000000006,0.05600000000000001
9,0.36,0.98,1,0.301,0.20199999999999999,0.039,-0.27699999999999997,-0.03,0.0,0.0,0.0,0.032,0.03,0.196,0.078,0.0,0.136,0.098,0.002,0.068,0.0,0.0,0.134,0.057999999999999996,0.048
10,0.4,0.98,1,0.294,0.19699999999999998,0.037000000000000005,-0.27899999999999997,-0.031,0.0,0.0,0.0,0.034,0.048,0.18,0.1,0.0,0.142,0.10800000000000001,0.002,0.046,0.0,0.0,0.148,0.072,0.05
11,0.44,0.98,1,0.287,0.192,0.031,-0.285,-0.034,0.0,0.0,0.0,0.032,0.06,0.176,0.12,0.0,0.148,0.126,0.004,0.038,0.0,0.0,0.192,0.054000000000000006,0.05600000000000001
12,0.48,0.98,1,0.305,0.2,0.033,-0.28600000000000003,-0.031,0.002,0.0,0.0,0.05,0.072,0.174,0.134,0.0,0.152,0.128,0.002,0.018,0.0,0.0,0.21400000000000002,0.05600000000000001,0.062
13,0.52,0.98,1,0.284,0.196,0.031,-0.28,-0.027999999999999997,0.002,0.0,0.0,0.068,0.072,0.18,0.13799999999999998,0.0,0.154,0.156,0.012,0.032,0.0,0.0,0.21000000000000002,0.046,0.062
14,0.56,0.98,1,0.3,0.19699999999999998,0.028999999999999998,-0.28,-0.028999999999999998,0.002,0.0,0.0,0.062,0.074,0.16799999999999998,0.152,0.0,0.152,0.184,0.022,0.036,0.0,0.0,0.172,0.038,0.06
15,0.6,0.98,1,0.284,0.19699999999999998,0.022000000000000002,-0.275,-0.03,0.006,0.0,0.0,0.072,0.062,0.16999999999999998,0.134,0.0,0.12,0.198,0.036,0.052000000000000005,0.0,0.0,0.144,0.068,0.041999999999999996
16,0.64,0.98,1,0.28600000000000003,0.155,-0.032,-0.27399999999999997,-0.045,0.012,0.0,0.0,0.098,0.062,0.172,0.122,0.004,0.098,0.16,0.036,0.044,0.0,0.0,0.178,0.098,0.03
17,0.68,0.98,1,0.28600000000000003,0.17,-0.008,-0.272,-0.032,0.016,0.0,0.0,0.13799999999999998,0.072,0.20600000000000002,0.11000000000000001,0.008,0.08399999999999999,0.10600000000000001,0.036,0.038,0.0,0.0,0.22000000000000003,0.158,0.02
18,0.72,0.98,1,0.29,0.185,0.012,-0.275,-0.021,0.016,0.0,0.0,0.15,0.094,0.198,0.122,0.02,0.10600000000000001,0.11000000000000001,0.03,0.016,0.0,0.0,0.256,0.15,0.026000000000000002
19,0.76,0.98,1,0.301,0.204,0.057999999999999996,-0.284,-0.003,0.01,0.0,0.0,0.122,0.10600000000000001,0.21400000000000002,0.132,0.024,0.136,0.174,0.026000000000000002,0.008,0.0,0.0,0.22599999999999998,0.11200000000000002,0.026000000000000002
